Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0fea9598510abf0e,EffectSupervisor(경력10년이상)EffectArt...,Mofac서울서초구,,"후디니사용자–이펙트요소표현에뛰어난감각소유–VFX파이프라인에대한이해도우대사항–Python등Scripting유경험자–외국어가능자(영어,중국어)–경력5-10년차실무경력자전형절..."
https://kr.indeed.com/viewjob?jk=3383326062c40ec2,BackendDeveloper(PythonorJava),SuccessKorea서울,,"채용제목BackendDeveloper(PythonorJava)(지원마감)회사소개온라인서비스업무내용/자격요건자격요건-Python,Java,Ruby,Node.js등을사용한3년이상의개발경력..."
https://kr.indeed.com/viewjob?jk=8d3779495965701b,[경력직]미들웨어/PasS엔지니어채용,에이치알코리아서울,,"Kubernetes,Ansible)-컨테이너적용및개발자-오픈스택,ceph경험자-python,go개발경험과Ansible경험자근무조건격주4일근무제(금요일격주휴무)월요일10시-18시/화..."
https://kr.indeed.com/viewjob?jk=d24722707c9aed56,빅데이터수집/처리,SuccessKorea경기도성남,,"자격요건]-Java,Scala,Python사용가능한분(택1...첨부양식을반드시사용)자격요건-Java,Scala,Python사용가능한분(택1)-데이터베이스,네트워크,분산처리에대한..."
https://kr.indeed.com/viewjob?jk=e74096399808edd6,이베이/아마존API연동쇼핑몰솔루션유지보수/개발,제트앤에스서울강남구,,데이터마이닝|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP|인터넷·IT·통신·모바일·게임>웹프로그래머>AJAX|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머>Python
https://kr.indeed.com/viewjob?jk=24a5b054663f5868,데이터서비스/DevOps엔지니어,데브시스터즈서울강남구,,인터넷·IT·통신·모바일·게임>게임(Game)>시스템기획·설계|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>Python
https://kr.indeed.com/viewjob?jk=eade43a056215708,게임인공지능(AI),SuccessKorea성남분당구,,"등을활용한AI개발경험이있으신분-C/C++혹은Java,Python등프로그래밍능력이있으신분[우대사항]-Cocos2d-X...분-C/C++혹은Java,Python등프로그래밍능력이있으신..."
https://kr.indeed.com/viewjob?jk=9b6fd8a39f3af2fe,파이썬개발,위대한상사서울강남구,"연봉40,000,000원-60,000,000원",비식별데이터)처리및DB적재•위경도기반의데이터처리•상권분석자동화시스템[자격요건]•Python프로그래밍능력•RDBMS및쿼리에대한이해•리눅스환경에서개발경험•Pandas및...
https://kr.indeed.com/viewjob?jk=e8d1c3f88e0b200b,DataScientist,해외송금전문업체서울강남구,,"유지보수-데이터시각화[자격요건]-경력2~4년차-SQL사용이능숙하신분(필수)-R,Python등을이용한분석경험[우대사항]-빅데이터및금융데이터분석및예측-통계학전공자..."
https://kr.indeed.com/viewjob?jk=155fdbd50a388624,ICT이노베이션스퀘어AI인공지능/블록체인교육,전라남도정보문화산업진흥원전라남도무안,,인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>공간빅데이터전문가|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>Python
https://kr.indeed.com/viewjob?jk=1b17d214a0d694f1,머신러닝기반데이터분석_신입[4차],SuccessKorea서울선릉역,,"알고리즘및모델연구개발[자격요건]-대졸이상-R또는Python을활용한데이터처리및분석프로젝트경험-수학,통계,산업공...자격요건-대졸이상-R또는Python을활용한데이터처리및..."
https://kr.indeed.com/viewjob?jk=d668fc7b9d5699ba,SeniorCloudReliabilityEngineer-HANA...,SAP4.3서울,,"Git/Gerrit,andsomedevelopmentlanguages...Python,Go,Java,Javascript,etc.Willingnesstolearnandflexibility..."
https://kr.indeed.com/viewjob?jk=5bffd6be54d68b58,"CRM분석,CRMMarketingManager국내대기업식품회사",국내대기업식품회사서울특별시,,"머스또는인터넷서비스전문기업(대기업)경력필수-CRM데이터분석/GA셋팅경력보유하신분-Python,R등기타Programminglanguage사용경력을보유하신분-Tableau이용한비즈..."
https://kr.indeed.com/viewjob?jk=b5ddb1b0c4d4463a,"대기업빅데이터분석시스템개발및운영(Linux,Spark,Py...",차량IT전문기업(대기업)서울,,"를이용한분산처리개발경험자-Python/Scala/Java중1개이상개발경험자[기술스택]-OS:Linux,HadoopCloudera플랫폼-개발언어:Python,ApacheSpark..."
https://kr.indeed.com/viewjob?jk=de02498698b3c239,Back-endDeveloper백엔드개발자(JAVA),Peer서울강남구,,"경험사용자인증메커니즘에대한이해및암호화관련개발경험Python,Go,Scala,C,Java언어실무경험이나다양한언어...기반),Node.js,Python사용DB:Mysql/Maria..."
https://kr.indeed.com/viewjob?jk=7ab72b2f19e2425d,Back-endEngineer경력채용,주식회사카사코리아관심기업서울삼성동,,"클라이언트와통신을위한API설계및구현[자격요건]-C++,JAVA,Node.js,Python,Go중하나이상의언어능통자-프로덕션환경에서지속적인서비스개선및운영경험-웹기술및..."
https://kr.indeed.com/viewjob?jk=c62d380a1585df66,데이터엔지니어(3년이상),우아한형제들서울송파구,,Hadoop/Spark기반의빅데이터인프라구축및ETL개발경험(3년이상)-Scala/Java/Python중1개이상의언어숙련자-SQL숙련자(MySQL/SparkSQL)-1개이상의데이터엔지...
https://kr.indeed.com/viewjob?jk=d5a08b8f70e8d699,결제시스템기술개발(대리-과장),SuccessKorea성남판교역,,"구축개발및운영-결제제휴처개발및운영(1)개발경력요구사항*필수사항1.Java,Python프로그래밍경력3년이상.2.Spring프레임워크로개발경력3년이상3.OralceDB..."
https://kr.indeed.com/viewjob?jk=feb6f27fec2c9dc3,SeniorDevOpsEngineer,레이니스트서울,,"테스팅자동화,배포자동화,소프트웨어구성관리등을포함한DevOps플랫폼구축및운영경험보유Python/Node/shellscript을활용하여스크립트및컴파일된응용프로그램과자동화코드작성가능..."
https://kr.indeed.com/viewjob?jk=35cefd4d91c7b366,저축은행앱마케팅팀,국내자본저축은행서울구로구,,Adbrix등)-SQL사용가능-경력3년~7년-개발자와의원활한커뮤니케이션<우대사항>-PythonorR사용우대-태블로사용우대-Solution도입경험우대-금융권데이터분석자...
https://kr.indeed.com/viewjob?jk=e42dff836a3182d7,반응형웹개발자(3년이상),에이치알코리아대한민국,,웹및plug-in개발(java기반)-서버개말및유지보수(python_djangoframework)-외부와의협업프로젝트관리...웹그리고플러그인개발경력-python개발및활용이능통한자...
https://kr.indeed.com/viewjob?jk=2c229768afa02d2d,온시큐리티(주)빅데이터기반인공지능네트워크/보안개발자정규직,온시큐리티서울송파구,,"-C,C++,JAVA,Python,JSP등의프로그래밍가능자-문서작성우수자인터넷·IT·통신·모바일·게임>게임(Game)>서버·네트워크개발"
https://kr.indeed.com/viewjob?jk=2cca42ee0951d4be,"Principal,BusinessAnalysis(CoupangEa...",Coupang3.0서울,,"SQL,Excel,Python,andR/SASorany...경영학학사혹은해당분야에서그에준하는경험SQL,Excel,Python,R/SAS등통계분석용소프트웨어활용경험Hadoop..."
https://kr.indeed.com/viewjob?jk=0ab285258b1cb206,저축은행앱마케팅팀데이터분석,국내자본저축은행서울구로구,,"실무적용-BITool기반KPI자동화및데이터시각화[자격요건]-SQL사용가능-PythonorR사용가능-태블로사용우대-금융사경력우대-긍정,열정,탐구적인자세[전형절차..."
https://kr.indeed.com/viewjob?jk=53ced11b1e0addce,저축은행디지털뱅킹팀데이터분석경력,국내자본저축은행서울구로구,,"고객분석,마케팅분석-마케팅기획및실행조직과협업경험,마케팅데이터모델링개발능력-R,Python,Tableau,SAS,Orange,SQL등데이터분석의업무를수행할수있는개발언어에..."
